repo,module,16.0,17.0,18.0,19.0,20.0
account-analytic,account_analytic_account_tag,1,1,0,0,0
account-analytic,account_analytic_distribution_manual,1,1,1,0,0
account-analytic,account_analytic_distribution_manual_date,0,1,0,0,0
account-analytic,account_analytic_distribution_model_recalculate,0,1,0,1,0
account-analytic,account_analytic_distribution_widget_rebalance,0,1,0,0,0
account-analytic,account_analytic_document_date,1,1,0,0,0
account-analytic,account_analytic_line_commercial_partner,0,0,1,0,0
account-analytic,account_analytic_line_name_text,0,1,0,0,0
account-analytic,account_analytic_organization,1,1,1,0,0
account-analytic,account_analytic_parent,1,1,1,0,0
account-analytic,account_analytic_required,1,1,1,1,0
account-analytic,account_analytic_root,1,0,0,0,0
account-analytic,account_analytic_sequence,1,1,1,1,0
account-analytic,account_analytic_spread_by_tag,0,1,1,0,0
account-analytic,account_analytic_tag,1,1,1,1,0
account-analytic,account_analytic_tag_distribution,1,0,0,0,0
account-analytic,account_move_analytic_link,0,0,1,0,0
account-analytic,account_move_update_analytic,1,1,1,1,0
account-analytic,analytic_amount_security,1,0,1,1,0
account-analytic,analytic_base_department,1,1,1,0,0
account-analytic,analytic_distribution_widget_remove_save,1,0,0,0,0
account-analytic,analytic_hr_department_restriction,1,0,1,0,0
account-analytic,analytic_mixin_analytic_account,1,0,0,0,0
account-analytic,analytic_partner,1,1,1,0,0
account-analytic,crm_claim_analytic,1,0,0,0,0
account-analytic,hr_department_analytic,1,0,0,0,0
account-analytic,hr_expense_analytic_tag,1,0,1,1,0
account-analytic,hr_timesheet_analytic_tag,1,1,1,0,0
account-analytic,mrp_stock_analytic,1,1,0,0,0
account-analytic,pos_analytic_by_config,1,1,1,1,0
account-analytic,product_analytic,1,1,1,0,0
account-analytic,product_analytic_purchase,1,0,0,0,0
account-analytic,product_analytic_sale,1,0,0,0,0
account-analytic,purchase_analytic,1,1,1,1,0
account-analytic,purchase_analytic_distribution_model_warehouse,0,0,1,0,0
account-analytic,purchase_analytic_required,0,0,0,1,0
account-analytic,purchase_analytic_tag,1,1,1,0,0
account-analytic,purchase_request_analytic,0,1,0,0,0
account-analytic,purchase_stock_analytic,1,1,1,0,0
account-analytic,sale_analytic_distribution_model_warehouse,0,0,1,0,0
account-analytic,sale_analytic_tag,1,1,1,1,0
account-analytic,stock_analytic,1,1,1,1,0
account-analytic,stock_analytic_rule,0,1,0,0,0
account-analytic,stock_landed_costs_analytic,1,1,1,0,0
account-analytic,stock_picking_analytic,1,1,0,0,0
account-budgeting,account_budget_oca,1,1,1,1,0
account-closing,account_cutoff_accrual_order_base,1,0,0,0,0
account-closing,account_cutoff_accrual_order_stock_base,1,0,0,0,0
account-closing,account_cutoff_accrual_purchase,1,0,0,0,0
account-closing,account_cutoff_accrual_purchase_stock,1,0,0,0,0
account-closing,account_cutoff_accrual_sale,1,0,0,0,0
account-closing,account_cutoff_accrual_sale_stock,1,0,0,0,0
account-closing,account_cutoff_accrual_sale_stock_delivery,1,0,0,0,0
account-closing,account_cutoff_accrual_subscription,1,1,1,0,0
account-closing,account_cutoff_base,1,1,1,0,0
account-closing,account_cutoff_picking,1,1,1,0,0
account-closing,account_cutoff_start_end_dates,1,1,1,0,0
account-closing,account_fiscal_year_closing,1,0,1,1,0
account-closing,account_fiscal_year_closing_range,0,0,1,0,0
